{PRICE;CARD_NAME;MARKET_HASH_NAME;LAST_UPDATED}

{0.04;Mud Monster;340830-Mud%20Monster;2021-07-25}

{0.04;Mushi;406090-Mushi;2021-07-25}

{0.0;My sweet home;569760-My%20sweet%20home;2021-07-09}

{0.05;Mysterious Shape;542690-Mysterious%20Shape;2021-07-25}

{0.05;Nasty Gremlin;561450-Nasty%20Gremlin;2021-07-25}

{0.05;Nathan;545540-Nathan;2021-07-25}

{0.04;Nathaniel Larch;416370-Nathaniel%20Larch;2021-07-25}

{0.05;Neon Enemy Space;505210-Neon%20Enemy%20Space;2021-07-25}

{0.05;Newspaper Delivery;371120-Newspaper%20Delivery;2021-07-25}

{0.04;Nisuka;581200-Nisuka;2021-07-25}

{0.04;Nugazez;375120-Nugazez;2021-07-25}

{0.07;Ogres (Trading Card);416310-Ogres%20%28Trading%20Card%29;2021-07-25}

{0.04;Okoro;528720-Okoro;2021-07-25}

{0.05;Oliver;610120-Oliver;2021-07-25}

{0.04;Oliver Franzke;402590-Oliver%20Franzke;2021-07-25}

{0.05;Onuel The Titan Defender (Trading Card);386140-Onuel%20The%20Titan%20Defender%20%28Trading%20Card%29;2021-07-25}

{0.04;Orange Kingsguard;548680-Orange%20Kingsguard;2021-07-25}

{0.04;Orange Path;512740-Orange%20Path;2021-07-25}

{0.05;Orbox;544180-Orbox;2021-07-25}

{0.05;Peaburry Coffeebottom;549240-Peaburry%20Coffeebottom;2021-07-25}

{0.05;Peri the Bounty Hunter;489070-Peri%20the%20Bounty%20Hunter;2021-07-25}

{0.05;Pharaoh;312720-Pharaoh;2021-07-25}

{0.06;Pigments;503550-Pigments;2021-07-25}

{0.04;Pixel My Ride;204630-Pixel%20My%20Ride;2021-07-25}

{0.04;Plant;399670-Plant;2021-07-25}

{0.05;Plasma Rifle;556780-Plasma%20Rifle;2021-07-25}

{0.04;Plate;363620-Plate;2021-07-25}

{0.0;Platformer;495350-Platformer;2021-07-09}

{0.04;Pod;429620-Pod;2021-07-25}

{0.05;Poison cloud;503950-Poison%20cloud;2021-07-25}

{0.0;PopOut;473500-PopOut;2021-07-09}

{0.03;Porssi;581200-Porssi;2021-07-25}

{0.06;PortalInTheLake;502090-PortalInTheLake;2021-07-25}

{0.04;Portrait;454690-Portrait;2021-07-25}

{0.06;Power Up;398970-Power%20Up;2021-07-25}

{0.05;Predator;511800-Predator;2021-07-25}

{0.05;Probetown;622170-Probetown;2021-07-25}

{0.0;Psycho Blaster (Enraged);613130-Psycho%20Blaster%20%28Enraged%29;2021-07-09}

{0.05;Psycho Bomber;613130-Psycho%20Bomber;2021-07-25}

{0.05;Psycho Bomber (Enraged);613130-Psycho%20Bomber%20%28Enraged%29;2021-07-25}

{0.06;Queen Boadicea;374830-Queen%20Boadicea;2021-07-25}

{0.04;Queen Procipinee;228260-Queen%20Procipinee;2021-07-25}

{0.04;Quint;432010-Quint;2021-07-25}

{0.0;Rabbit (Trading Card);592490-Rabbit%20%28Trading%20Card%29;2021-07-09}

{0.04;Rad Hitman;485430-Rad%20Hitman;2021-07-25}

{0.05;Rai;595560-Rai;2021-07-25}

{0.05;Rastiss;449300-Rastiss;2021-07-25}

{0.04;Red Kingsguard;548680-Red%20Kingsguard;2021-07-25}

{0.05;Relic Gate;257050-Relic%20Gate;2021-07-25}

{0.03;Rhamnosus;448470-Rhamnosus;2021-07-25}

{0.05;Riddim;384250-Riddim;2021-07-25}

{0.0;Right SQR 2x2;576010-Right%20SQR%202x2;2021-07-09}

{0.05;Rita;522010-Rita;2021-07-25}

{0.05;Robin Hood;374830-Robin%20Hood;2021-07-25}

{0.05;Robotic Arm;351720-Robotic%20Arm;2021-07-25}

{0.04;Rocket;635850-Rocket;2021-07-25}

{0.05;Rocket Raccoon;561450-Rocket%20Raccoon;2021-07-25}

{0.04;ROGAN;634200-ROGAN;2021-07-25}

{0.04;Root card;501480-Root%20card;2021-07-25}

{0.04;Rosellinia Coffeebottom;549240-Rosellinia%20Coffeebottom;2021-07-25}

{0.05;RPG;575770-RPG;2021-07-25}

{0.06;Ruination Caverns;527810-Ruination%20Caverns;2021-07-25}

{0.05;Rush!;583490-Rush%21;2021-07-25}

{0.05;s u p e r i o r_p i l o t;555080-s%20u%20p%20e%20r%20i%20o%20r_p%20i%20l%20o%20t;2021-07-25}

{0.05;Sand Priest;439920-Sand%20Priest;2021-07-25}

{0.05;SanjigenJiten!;274980-SanjigenJiten%21;2021-07-25}

{0.04;Satoya Eriko;557770-Satoya%20Eriko;2021-07-25}

{0.06;Saya;565720-Saya;2021-07-25}

{0.06;Scarf Girl;585750-Scarf%20Girl;2021-07-25}

{0.04;Schultz;488280-Schultz;2021-07-25}

{0.05;Secret Gem;385410-Secret%20Gem;2021-07-25}

{0.04;Senah;432010-Senah;2021-07-25}

{0.06;Sensor;544180-Sensor;2021-07-25}

{0.06;Shadow Rift;398830-Shadow%20Rift;2021-07-25}

{0.05;Shaking the hips;615490-Shaking%20the%20hips;2021-07-25}

{0.06;Shield;597150-Shield;2021-07-25}

{0.05;Ship;577740-Ship;2021-07-25}

{0.04;Shroud;459090-Shroud;2021-07-25}

{0.05;Shu;528720-Shu;2021-07-25}

{0.04;Siegfried;627950-Siegfried;2021-07-25}

{0.04;Sign;634230-Sign;2021-07-25}

{0.0;Slug;619520-Slug;2021-07-09}

{0.04;Slums;622170-Slums;2021-07-25}

{0.06;Small factory;615080-Small%20factory;2021-07-25}

{0.0;Small Trawler;407100-Small%20Trawler;2021-07-09}

{0.05;Smart Grass;589420-Smart%20Grass;2021-07-25}

{0.04;Snow White;388960-Snow%20White;2021-07-25}

{0.05;Sokudo;417430-Sokudo;2021-07-25}

{0.06;Solar Bedroom;553340-Solar%20Bedroom;2021-07-25}

{0.05;Solar Lisa;553340-Solar%20Lisa;2021-07-25}

{0.05;Solo Boost;504460-Solo%20Boost;2021-07-25}

{0.06;Sons of the Dragon_FuXi;570980-Sons%20of%20the%20Dragon_FuXi;2021-07-25}

{0.05;Sons of the Dragon_Hou;570980-Sons%20of%20the%20Dragon_Hou;2021-07-25}

{0.04;Sorcerer;286120-Sorcerer;2021-07-25}

{0.05;Sorcerer;391600-Sorcerer;2021-07-25}

{0.05;Source;356420-Source;2021-07-25}

{0.03;Space Cat Party!;505730-Space%20Cat%20Party%21;2021-07-25}

{0.0;Space hole;594730-Space%20hole;2021-07-09}

{0.0;8-800-228-82-28;545350-8-800-228-82-28;2021-07-11}

{0.05;:CastleEscape:;366180-%3ACastleEscape%3A;2021-07-25}

{0.05;:Off with his head:;366180-%3AOff%20with%20his%20head%3A;2021-07-25}

{0.06;[Z] Driving Miss Daisy;275530-%5BZ%5D%20Driving%20Miss%20Daisy;2021-07-25}

{0.05;[Z] Happy Campers;275530-%5BZ%5D%20Happy%20Campers;2021-07-25}

{0.05;[Z] KICK ME!;275530-%5BZ%5D%20KICK%20ME%21;2021-07-25}

{0.05;[Z] Shoot the Runner;275530-%5BZ%5D%20Shoot%20the%20Runner;2021-07-25}

{0.05;[Z] Zod;275530-%5BZ%5D%20Zod;2021-07-25}

{0.06;A Deserving Rest;577580-A%20Deserving%20Rest;2021-07-25}

{0.05;Aarik Pritts;426290-Aarik%20Pritts;2021-07-25}

{0.06;Abbas Salem;437250-Abbas%20Salem;2021-07-25}

{0.07;ABSO Robo High Arena (Trading Card);461280-ABSO%20Robo%20High%20Arena%20%28Trading%20Card%29;2021-07-25}

{0.0;Absorption (Foil);581430-Absorption%20%28Foil%29;2021-07-11}

{0.05;Adeola Dhali (Trading Card);560820-Adeola%20Dhali%20%28Trading%20Card%29;2021-07-25}

{0.05;Adult bird;432990-Adult%20bird;2021-07-25}

{0.04;Aftermath;557770-Aftermath;2021-07-25}

{0.04;Agrius;459410-Agrius;2021-07-25}

{0.05;Aislinn Fyffe;426290-Aislinn%20Fyffe;2021-07-25}

{0.07;Alien;590870-Alien;2021-07-25}

{0.05;Alien - like claw;529900-Alien%20-%20like%20claw;2021-07-25}

{0.05;Alien Donut;527470-Alien%20Donut;2021-07-25}

{0.05;Alien Infantry;455200-Alien%20Infantry;2021-07-25}

{0.06;All the Shiny Things;582620-All%20the%20Shiny%20Things;2021-07-25}

{0.04;Alpaca Mage;579230-Alpaca%20Mage;2021-07-25}

{0.1;Alpaca Mage (Foil);579230-Alpaca%20Mage%20%28Foil%29;2021-07-25}

{0.06;Alternate Silva;488330-Alternate%20Silva;2021-07-25}

{0.05;Am i the Janitor?;341380-Am%20i%20the%20Janitor%3F;2021-07-25}

{0.03;Amber Piece;455690-Amber%20Piece;2021-07-25}

{0.05;Amsterdam;465280-Amsterdam;2021-07-25}

{0.04;Amulet;340830-Amulet;2021-07-25}

{0.04;Ana;458000-Ana;2021-07-25}

{0.0;Ancient wonders (Foil);581430-Ancient%20wonders%20%28Foil%29;2021-07-11}

{0.1;Androctonus Pew Pew;435600-Androctonus%20Pew%20Pew;2021-07-25}

{0.0;Angantyr;563570-Angantyr;2021-07-11}

{0.07;Angry Bot;372490-Angry%20Bot;2021-07-25}

{0.04;Angry Elecontrol;406090-Angry%20Elecontrol;2021-07-25}

{0.06;Angry Mallow;552350-Angry%20Mallow;2021-07-25}

{0.04;Animalis;448470-Animalis;2021-07-25}

{0.12;Anna;564720-Anna;2021-07-25}

{0.05;Anne Rose;527820-Anne%20Rose;2021-07-25}

{0.08;Archer (Trading Card);562490-Archer%20%28Trading%20Card%29;2021-07-25}

{0.05;ARCHR;431200-ARCHR;2021-07-25}

{0.0;Armored Bear Fun;589370-Armored%20Bear%20Fun;2021-07-11}

{0.05;Armund;417430-Armund;2021-07-25}

{0.05;Arran Gottspeed;324740-Arran%20Gottspeed;2021-07-25}

{0.06;Artemis;496320-Artemis;2021-07-25}

{0.05;Aruna;459640-Aruna;2021-07-25}

{0.0;Asterobot;591010-Asterobot;2021-07-11}

{0.04;Astrologist & Priest;409000-Astrologist%20%26%20Priest;2021-07-25}

{0.05;Aviator;314710-Aviator;2021-07-25}

{0.07;B.RO;598230-B.RO;2021-07-25}

{0.0;Ball (Foil Trading Card);600450-Ball%20%28Foil%20Trading%20Card%29;2021-07-11}

{0.0;Ball (Trading Card);600450-Ball%20%28Trading%20Card%29;2021-07-11}

{0.05;Bamboo;462220-Bamboo;2021-07-25}

{0.07;Bananapants;516410-Bananapants;2021-07-25}

{0.05;Bandit Lieutenant;384840-Bandit%20Lieutenant;2021-07-25}

{0.04;Barbara Peikoff;374030-Barbara%20Peikoff;2021-07-25}

{0.0;Base (Foil);543790-Base%20%28Foil%29;2021-07-11}

{0.0;Battery;520530-Battery;2021-07-11}

{0.0;Battle in space (Foil);501900-Battle%20in%20space%20%28Foil%29;2021-07-11}

{0.06;Bean Bag Chair;396530-Bean%20Bag%20Chair;2021-07-25}

{0.05;Beatus;555580-Beatus;2021-07-25}

{0.05;Beerman Trading Card 3;508950-Beerman%20Trading%20Card%203;2021-07-25}

{0.04;Beerman Trading Card 4;508950-Beerman%20Trading%20Card%204;2021-07-25}

{0.0;Beginner Abrix;576380-Beginner%20Abrix;2021-07-11}

{0.04;Big Red Button;585830-Big%20Red%20Button;2021-07-25}

{0.06;Black Light;557260-Black%20Light;2021-07-25}

{0.14;Blowfly;522890-Blowfly;2021-07-25}

{0.05;Blue Alpaca;579230-Blue%20Alpaca;2021-07-25}

{0.05;Blue Ball;604780-Blue%20Ball;2021-07-25}

{0.06;Blue Player Wins;487580-Blue%20Player%20Wins;2021-07-25}

{0.07;Bomb Mode;551100-Bomb%20Mode;2021-07-25}

{0.05;Bone Strider;585750-Bone%20Strider;2021-07-25}

{0.0;Boostichia (Trading Card);554670-Boostichia%20%28Trading%20Card%29;2021-07-11}

{0.11;Boots;592340-Boots;2021-07-25}

{0.0;Boss (Foil);574810-Boss%20%28Foil%29;2021-07-11}

{0.06;Boss 3;450950-Boss%203;2021-07-25}

{0.05;Boss Battle;477720-Boss%20Battle;2021-07-25}

{0.06;BOT;466890-BOT;2021-07-25}

{0.05;Brauny;364910-Brauny;2021-07-25}

{0.06;Break time;555580-Break%20time;2021-07-25}

{0.05;Bro Pilotes;576540-Bro%20Pilotes;2021-07-25}

{0.06;Brother Crab;496690-Brother%20Crab;2021-07-25}

{0.05;Brute;514990-Brute;2021-07-25}

{0.05;Brute Card (Foil);535760-Brute%20Card%20%28Foil%29;2021-07-25}

{0.05;Bubble (Trading Card);604780-Bubble%20%28Trading%20Card%29;2021-07-25}

{0.05;BullAutomaton;521100-BullAutomaton;2021-07-25}

{0.07;Bushfire (Trading Card);507340-Bushfire%20%28Trading%20Card%29;2021-07-25}

{0.06;Butcher Axe;568440-Butcher%20Axe;2021-07-25}

{0.04;Caitlyn;461710-Caitlyn;2021-07-25}

{0.06;Cake;587810-Cake;2021-07-25}

{0.05;Candela;476410-Candela;2021-07-25}

{0.06;Cannon;577740-Cannon;2021-07-25}

{0.05;Card Two;596590-Card%20Two;2021-07-25}

{0.07;Cargo Bay Demo;594720-Cargo%20Bay%20Demo;2021-07-25}

{0.04;Cassie and Fay!;505730-Cassie%20and%20Fay%21;2021-07-25}

{0.09;Cat;546200-Cat;2021-07-25}

{0.04;Catapult (Trading Card);404630-Catapult%20%28Trading%20Card%29;2021-07-25}

{0.47;Cats (Trading Card);577160-Cats%20%28Trading%20Card%29;2021-07-25}

{0.05;Caught!;576730-Caught%21;2021-07-25}

{0.07;Cave (Trading Card);586960-Cave%20%28Trading%20Card%29;2021-07-25}

{0.05;Centaur;574580-Centaur;2021-07-25}

{0.05;Champion;429350-Champion;2021-07-25}

{0.07;Chang Li Kickass;418640-Chang%20Li%20Kickass;2021-07-25}

{0.04;Charles Darwin;358130-Charles%20Darwin;2021-07-25}

{0.04;Chef;338310-Chef;2021-07-25}

{0.08;Chicken Cultists;470210-Chicken%20Cultists;2021-07-25}

{0.05;Child;470590-Child;2021-07-25}

{0.06;Chinatown;462220-Chinatown;2021-07-25}

{0.04;Chopity Chop;399130-Chopity%20Chop;2021-07-25}

{0.05;Chuck;402850-Chuck;2021-07-25}

{0.05;Church;568830-Church;2021-07-25}

{0.05;Circus tent (Trading Card);508760-Circus%20tent%20%28Trading%20Card%29;2021-07-25}

{0.04;City Hall;336710-City%20Hall;2021-07-25}

{0.05;City relations card;463670-City%20relations%20card;2021-07-25}

{0.05;Clava Tombs;535690-Clava%20Tombs;2021-07-25}

{0.05;Clown;580420-Clown;2021-07-25}

{0.0;Cold;517110-Cold;2021-07-11}

{0.04;Cold War Warrior;331760-Cold%20War%20Warrior;2021-07-25}

{0.0;Collector;517110-Collector;2021-07-11}

{0.05;Colonial Alliance Stingray;424760-Colonial%20Alliance%20Stingray;2021-07-25}

{0.0;Commander of The Abyssal Forces;418310-Commander%20of%20The%20Abyssal%20Forces;2021-07-11}

{0.0;Commerce (Trading Card);601280-Commerce%20%28Trading%20Card%29;2021-07-11}

{0.05;Common Problems;585180-Common%20Problems;2021-07-25}

{0.0;Cool Cat (Foil);606050-Cool%20Cat%20%28Foil%29;2021-07-11}

{0.05;Corra Emmer;426290-Corra%20Emmer;2021-07-25}

{0.04;Cowboy;328500-Cowboy;2021-07-25}

{0.05;Crab;522890-Crab;2021-07-25}

{0.0;Crafty bird;580150-Crafty%20bird;2021-07-11}

{0.05;Crazy Pilot Bunny;567210-Crazy%20Pilot%20Bunny;2021-07-25}

{0.03;Cricket;600530-Cricket;2021-07-25}

{0.07;Cromlech;437250-Cromlech;2021-07-25}

{0.06;Crossbow;536450-Crossbow;2021-07-25}

{0.04;Crow;354860-Crow;2021-07-25}

{0.06;Cruatha van Lanval;508300-Cruatha%20van%20Lanval;2021-07-25}

{0.05;Crystal Eastman;374030-Crystal%20Eastman;2021-07-25}

{0.0;Cute Carrot;575470-Cute%20Carrot;2021-07-11}

{0.05;Cutesy Enemies;489900-Cutesy%20Enemies;2021-07-25}

{0.05;Cyclops;577580-Cyclops;2021-07-25}

{0.06;Dance of lights (Trading Card);543270-Dance%20of%20lights%20%28Trading%20Card%29;2021-07-25}

{0.07;Dark Corridor;348450-Dark%20Corridor;2021-07-25}

{0.08;Dark Matter;556250-Dark%20Matter;2021-07-25}

{0.05;Dark witch;555580-Dark%20witch;2021-07-25}

{0.19;Dark witch 2;555580-Dark%20witch%202;2021-07-25}

{0.04;Dark World 3;420360-Dark%20World%203;2021-07-25}

{0.05;Darkarta: Mooppan;601530-Darkarta%3A%20Mooppan;2021-07-25}

{0.06;Dave (Trading Card);487350-Dave%20%28Trading%20Card%29;2021-07-25}

{0.06;Deceiver;556250-Deceiver;2021-07-25}

{0.04;DECK #1;364690-DECK%20%231;2021-07-25}

{0.05;Deep Sea Danger;575580-Deep%20Sea%20Danger;2021-07-25}

{0.0;Defender (Foil);525290-Defender%20%28Foil%29;2021-07-11}

{0.0;Defense (Foil);543780-Defense%20%28Foil%29;2021-07-11}

{0.05;Delivery Destination;503150-Delivery%20Destination;2021-07-25}

{0.1;Demon Lilith;560760-Demon%20Lilith;2021-07-25}

{0.06;Devil;527760-Devil;2021-07-25}

{0.05;Diamond;492170-Diamond;2021-07-25}

{0.12;Dinner Doggo;578430-Dinner%20Doggo;2021-07-25}

{0.08;Doctor;307940-Doctor;2021-07-25}

{0.05;Dog vs. God;542240-Dog%20vs.%20God;2021-07-25}

{0.27;DogFight;477720-DogFight;2021-07-25}

{0.04;Dr Henry Jekyll;388960-Dr%20Henry%20Jekyll;2021-07-25}

{0.05;Dragon Skull;257050-Dragon%20Skull;2021-07-25}

{0.05;Dream;428630-Dream;2021-07-25}

{0.05;Drifter;385860-Drifter;2021-07-25}

{0.07;Duckles - the Duck Hero!;512700-Duckles%20-%20the%20Duck%20Hero%21;2021-07-25}

{0.0;Easy Abrix;576380-Easy%20Abrix;2021-07-11}

{0.15;Edda;368880-Edda;2021-07-25}

{0.06;Edge Horizon;454780-Edge%20Horizon;2021-07-25}

{0.05;Elements Of Ice;514470-Elements%20Of%20Ice;2021-07-25}

{0.05;Emperium;454780-Emperium;2021-07-25}

{0.05;Enemy Team;408250-Enemy%20Team;2021-07-25}

{0.05;Envy;528300-Envy;2021-07-25}

{0.05;Era 2;352550-Era%202;2021-07-25}

{0.07;Essian Ship;485600-Essian%20Ship;2021-07-25}

{0.07;Explosion;511390-Explosion;2021-07-25}

{0.06;Explosives technician Valuska;378810-Explosives%20technician%20Valuska;2021-07-25}

{0.71;Faceless (Trading Card);588890-Faceless%20%28Trading%20Card%29;2021-07-25}

{0.05;Fallyn Stabler;426290-Fallyn%20Stabler;2021-07-25}

{0.05;Fans;410840-Fans;2021-07-25}

{0.05;February (Trading Card);587390-February%20%28Trading%20Card%29;2021-07-25}

{0.09;Fia and May;415300-Fia%20and%20May;2021-07-25}

{0.05;Fighting Thunder ME-02改;323460-Fighting%20Thunder%20ME-02%E6%94%B9;2021-07-25}

{0.04;Final Boss;522890-Final%20Boss;2021-07-25}

{0.1;Firestarter;446050-Firestarter;2021-07-25}

{0.06;First steps;448620-First%20steps;2021-07-25}

{0.1;Fish;575960-Fish;2021-07-25}

{0.07;Fish;592340-Fish;2021-07-25}

{0.14;Flag;511390-Flag;2021-07-25}

{0.06;Flagg;427860-Flagg;2021-07-25}

{0.06;Float (Foil);431750-Float%20%28Foil%29;2021-07-25}

{0.04;Florp;354860-Florp;2021-07-25}

{0.05;Flower;513580-Flower;2021-07-25}

{0.05;Flurry;556250-Flurry;2021-07-25}

{0.05;Flynn;461710-Flynn;2021-07-25}

{0.06;Food;533180-Food;2021-07-25}

{0.04;Force of the sword;450190-Force%20of%20the%20sword;2021-07-25}

{0.05;Foundry;356420-Foundry;2021-07-25}

{0.07;Furrcifer;588890-Furrcifer;2021-07-25}

{0.19;Fury (Trading Card);572520-Fury%20%28Trading%20Card%29;2021-07-25}

{0.05;Galaxy;556250-Galaxy;2021-07-25}

{0.04;Ghoul (Trading Card);581970-Ghoul%20%28Trading%20Card%29;2021-07-25}

{0.06;Giant Eye Demon;509930-Giant%20Eye%20Demon;2021-07-25}

{0.06;Girl & Suspicious Mr.;512230-Girl%20%26%20Suspicious%20Mr.;2021-07-25}

{0.07;Gladys Skarter;437250-Gladys%20Skarter;2021-07-25}

{0.05;Gnome Town;461780-Gnome%20Town;2021-07-25}

{0.05;Goblin;569970-Goblin;2021-07-25}

{0.04;Goblin King;339580-Goblin%20King;2021-07-25}

{0.05;Golem;389400-Golem;2021-07-25}

{0.0;Good and bad (Foil);545360-Good%20and%20bad%20%28Foil%29;2021-07-11}

{0.05;Good memories (Trading Card);560740-Good%20memories%20%28Trading%20Card%29;2021-07-25}

{0.04;Parrot;587790-Parrot;2021-07-26}

{0.0;Street Cat (Trading Card);592490-Street%20Cat%20%28Trading%20Card%29;2021-07-11}

{0.0;Underwater destroyer;601980-Underwater%20destroyer;2021-07-11}

{0.05;Xun, Wind;467090-Xun%2C%20Wind;2021-07-26}

{0.48;A Banana;604010-A%20Banana;2021-07-26}

{0.32;Antonio Morino;529920-Antonio%20Morino;2021-07-26}

{0.04;Anvil;450860-Anvil;2021-07-26}

{0.17;Aodh (Trading Card);558490-Aodh%20%28Trading%20Card%29;2021-07-26}

{0.08;Attria Prime;398120-Attria%20Prime;2021-07-26}

{0.4;Axel Steel (Trading Card);618070-Axel%20Steel%20%28Trading%20Card%29;2021-07-26}

{0.06;Be Safe!;436670-Be%20Safe%21;2021-07-26}

{0.05;Belias;448170-Belias;2021-07-26}

{0.07;Bob;425240-Bob;2021-07-26}

{0.05;Bratishka the Beast;589770-Bratishka%20the%20Beast;2021-07-26}

{0.0;Cafe;581700-Cafe;2021-07-12}

{0.04;Cave and rose;296070-Cave%20and%20rose;2021-07-26}

{0.06;Chitose Karasuyama;214610-Chitose%20Karasuyama;2021-07-26}

{0.0;cross;581700-cross;2021-07-12}

{0.04;Crusher;452060-Crusher;2021-07-26}

{0.06;Darkarta : Sophia;634180-Darkarta%20%3A%20Sophia;2021-07-26}

{0.07;Darkarta : The Manipulator King;634180-Darkarta%20%3A%20The%20Manipulator%20King;2021-07-26}

{0.14;Darkarta: Ameeha;634180-Darkarta%3A%20Ameeha;2021-07-26}

{0.08;Darkarta: Sir Creek;634180-Darkarta%3A%20Sir%20Creek;2021-07-26}

{0.05;Drones;597990-Drones;2021-07-26}

{0.3;DuaLaser.trt;629410-DuaLaser.trt;2021-07-26}

{0.04;Earrings;371000-Earrings;2021-07-26}

{0.1;Eizlazir;494700-Eizlazir;2021-07-26}

{0.04;Elf Archer;548370-Elf%20Archer;2021-07-26}

{0.16;Endearing Oak;636170-Endearing%20Oak;2021-07-26}

{0.04;Entrope (Trading Card);366910-Entrope%20%28Trading%20Card%29;2021-07-26}

{0.05;Fadia;353990-Fadia;2021-07-26}

{0.04;Fake Sea Captain;549240-Fake%20Sea%20Captain;2021-07-26}

{0.07;Finish Line;561600-Finish%20Line;2021-07-26}

{0.06;Folkin Guardians;274620-Folkin%20Guardians;2021-07-26}

{0.05;Giant;639720-Giant;2021-07-26}

{0.04;Gregory Hudson;446790-Gregory%20Hudson;2021-07-26}

{0.11;Guardian;628800-Guardian;2021-07-26}

{0.08;Gun of Patriot - Dawn Stanson;466860-Gun%20of%20Patriot%20-%20Dawn%20Stanson;2021-07-26}

{0.04;Gunnar - PredatorTRON;454680-Gunnar%20-%20PredatorTRON;2021-07-26}

{0.1;Healing Kit;546660-Healing%20Kit;2021-07-26}

{0.89;Her (Foil);464060-Her%20%28Foil%29;2021-07-26}

{0.05;Hermes;238890-Hermes;2021-07-26}

{0.05;High Guardian;492870-High%20Guardian;2021-07-26}

{0.05;Himeji Castle;284950-Himeji%20Castle;2021-07-26}

{0.04;Horse popular;486850-Horse%20popular;2021-07-26}

{0.05;Horus;439920-Horus;2021-07-26}

{0.1;Human;628800-Human;2021-07-26}

{0.04;Hydrant;450860-Hydrant;2021-07-26}

{0.04;I was a little boy;285070-I%20was%20a%20little%20boy;2021-07-26}

{0.04;Iced River;530020-Iced%20River;2021-07-26}

{0.05;Illustration color;477290-Illustration%20color;2021-07-26}

{0.08;Is he really dead?;601010-Is%20he%20really%20dead%3F;2021-07-26}

{0.05;Jacques Le Mime (Trading Card);444880-Jacques%20Le%20Mime%20%28Trading%20Card%29;2021-07-26}

{0.05;Japan;586430-Japan;2021-07-26}

{0.14;Jason Dawn;529920-Jason%20Dawn;2021-07-26}

{0.04;Johan Huizinga;358130-Johan%20Huizinga;2021-07-26}

{0.06;Johnnie;408110-Johnnie;2021-07-26}

{0.0;Jotunheim, land of giants;563570-Jotunheim%2C%20land%20of%20giants;2021-07-12}

{0.05;Juras;557040-Juras;2021-07-26}

{0.04;Kintai Bridge;284950-Kintai%20Bridge;2021-07-26}

{0.0;Kitty;602940-Kitty;2021-07-12}

{0.08;Knife;575090-Knife;2021-07-26}

{0.04;Komainu Enryakuji;284950-Komainu%20Enryakuji;2021-07-26}

{0.06;Labyrinth;487590-Labyrinth;2021-07-26}

{0.08;Leland;385030-Leland;2021-07-26}

{0.05;Lich;501310-Lich;2021-07-26}

{0.11;Light Elf;238890-Light%20Elf;2021-07-26}

{0.05;Light World 4;420360-Light%20World%204;2021-07-26}

{0.05;Lightbringer;339580-Lightbringer;2021-07-26}

{0.07;Linda Dawn;529920-Linda%20Dawn;2021-07-26}

{0.05;Lombo;528720-Lombo;2021-07-26}

{0.06;Looter Feast;319450-Looter%20Feast;2021-07-26}

{0.14;Lucas' Blade;581810-Lucas%27%20Blade;2021-07-26}

{0.05;Ludo Supremo (Trading Card);487580-Ludo%20Supremo%20%28Trading%20Card%29;2021-07-26}

{0.1;Luminorb;613850-Luminorb;2021-07-26}

{0.05;Luna Accretion;361600-Luna%20Accretion;2021-07-26}

{0.29;Machine power;313390-Machine%20power;2021-07-26}

{0.05;Madness Cubed Stalker;453270-Madness%20Cubed%20Stalker;2021-07-26}

{0.06;Mairu Hibisu;214610-Mairu%20Hibisu;2021-07-26}

{0.09;Makoto Kitsune (Trading Card);618070-Makoto%20Kitsune%20%28Trading%20Card%29;2021-07-26}

{0.05;March of the Furious;370550-March%20of%20the%20Furious;2021-07-26}

{0.05;Marksman;502200-Marksman;2021-07-26}

{0.06;Maya2;565720-Maya2;2021-07-26}

{0.05;Meadowlarks;344230-Meadowlarks;2021-07-26}

{0.05;Melanodera melanodera;344230-Melanodera%20melanodera;2021-07-26}

{0.05;Memorize;542690-Memorize;2021-07-26}

{0.04;Meretian Soldier;338310-Meretian%20Soldier;2021-07-26}

{0.11;Meroptian;628800-Meroptian;2021-07-26}

{0.04;Misako;544630-Misako;2021-07-26}

{0.04;Missile;511390-Missile;2021-07-26}

{0.05;Monica;461710-Monica;2021-07-26}

{0.06;Monk (Hero);492290-Monk%20%28Hero%29;2021-07-26}

{0.05;Morning Sparrow;458520-Morning%20Sparrow;2021-07-26}

{0.1;Mother of Demons;278620-Mother%20of%20Demons;2021-07-26}

{0.0;Mr. Blue Cube;512450-Mr.%20Blue%20Cube;2021-07-12}

{0.26;Nearing the Peak;636170-Nearing%20the%20Peak;2021-07-26}
